Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
K2-10 b,K2-10,1,1,Transit,2015,0,19.292062,,,,,,,,5533.0,0.968923,0.973,272.36
K2-100 b,K2-100,1,1,Transit,2016,0,1.6739,,,,,,,,6115.49,1.21742,1.153,188.959
K2-101 b,K2-101,1,1,Transit,2016,0,14.677214,,2.19420598,0.19575395,,,,,4942.0,0.769722,0.833034,188.33
K2-102 b,K2-102,1,1,Transit,2016,0,9.9147,,,,,,,,4638.0,0.768432,0.736,188.175
K2-104 b,K2-104,1,1,Transit,2016,0,1.974991,,,,,,,,3820.0,0.484,,189.289
K2-105 b,K2-105,1,1,Transit,2017,0,8.267,,,,,,,,5411.15,0.915405,0.941,197.989
K2-107 b,K2-107,1,1,Transit,2017,0,3.3139151,,,,,,,,6030.0,1.78,1.3,685.2
K2-108 b,K2-108,1,1,Transit,2017,0,4.73360988,,,,,,,,5496.0,1.75896,0.964,477.295
K2-11 b,K2-11,1,1,Transit,2015,0,39.93767,0.2257,7.55,0.67356588,,,,734.0,5433.0,5.15,1.35,329.309
K2-110 b,K2-110,1,1,Transit,2017,0,13.86391,,2.52419159,0.22519329,,,,,4877.0,0.692198,0.724359,116.474
K2-111 b,K2-111,1,2,Transit,2017,0,5.3518,0.0565,1.82,0.1623698,5.58,0.01755664,490.0,1309.0,5775.0,1.25,0.84,200.394
K2-111 c,K2-111,1,2,Radial Velocity,2020,0,15.6785,0.1166,,,11.3,0.0355536,,,5775.0,1.25,0.84,200.394
K2-113 b,K2-113,1,1,Transit,2017,0,5.817681,,12.5,1.12,,,,,,1.33,,635.722
K2-114 b,K2-114,1,1,Transit,2017,0,11.39096852897,,11.19847412,0.99906266,,,46.9021,667.45,5027.0,0.875936,,475.758
K2-115 b,K2-115,1,1,Transit,2017,0,20.272602,,11.5,1.03,,,,,,0.86,,413.591
K2-116 b,K2-116,1,1,Transit,2017,0,4.6556782,,0.814,0.07262022,,,,,4264.0,0.66,,49.3855
K2-117 b,K2-117,1,2,Transit,2017,0,1.291651,,2.1,0.19,,,,,,0.52,,101.632
K2-117 c,K2-117,1,2,Transit,2017,0,5.44425,0.0491,1.94,0.17307521,,,18.1,,3676.0,0.513,0.532,101.632
K2-118 b,K2-118,1,1,Transit,2017,0,50.92092,0.245,2.54,0.22660362,,,4.3,,4726.29,0.734626,0.756446,321.722
