Planet Name,Host Name,Number of Stars in System,Number of Planets in System,Discovery Method,Discovery Year,Controversial Flag,Orbital Period,Semi-Major Axis,Planet Earth Radius,Planet Jupiter Radius,Planet Earth Mass,Planet Jupiter Mass,Insolation Flux,Equilibrium Temperature,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Distance
11 Com b,11 Com,2,1,Radial Velocity,2007,0,326.03,1.29,,,6165.6,19.4,,,4742.0,19.0,2.7,93.1846
11 UMi b,11 UMi,1,1,Radial Velocity,2009,0,516.21997,1.53,,,4684.8142,14.74,,,4213.0,29.79,2.78,125.321
14 And b,14 And,1,1,Radial Velocity,2008,0,185.84,0.83,,,1525.5,4.8,,,4813.0,11.0,2.2,75.4392
14 Her b,14 Her,1,2,Radial Velocity,2002,0,1773.40002,2.93,,,1481.0878,4.66,,,5338.0,0.93,0.9,17.9323
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,0,798.5,1.66,,,565.7374,1.78,,,5750.0,1.13,1.08,21.1397
17 Sco b,17 Sco,1,1,Radial Velocity,2020,0,578.38,1.45,,,1373.01871824,4.32,,,4157.0,25.92,1.22,124.953
18 Del b,18 Del,2,1,Radial Velocity,2008,0,982.85,2.476,,,2926.24614325,9.207,,,4980.0,8.8,2.1,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,0,,330.0,,,4000.0,12.0,,1700.0,4060.0,,0.85,139.135
24 Boo b,24 Boo,1,1,Radial Velocity,2018,0,30.3506,0.19,,,289.2253,0.91,,,4893.0,10.64,0.99,95.9863
24 Sex b,24 Sex,1,2,Radial Velocity,2010,0,452.8,1.333,,,632.46,1.99,,,5098.0,4.9,1.54,72.0691
24 Sex c,24 Sex,1,2,Radial Velocity,2010,0,883.0,2.08,,,273.32,0.86,,,5098.0,4.9,1.54,72.0691
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,0,,118.0,,,1271.313628,4.0,,1450.0,3100.0,0.84,0.17,128.484
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,0,,84.0,,,4131.79,13.0,,,,,0.19,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,0,,,11.209,1.0,,,,1600.0,3309.0,0.36645,0.353185,33.8281
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,0,,156.0,16.14096,1.44,4417.837,13.9,,,3064.0,0.281,0.108,
2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,0,,1950.0,,,3686.8095212,11.6,,,,,0.046,66.0613
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,0,,572.0,,,5720.911326,18.0,,2369.0,,,,117.435
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,0,,15.0,,,2383.6,7.5,,,,,0.019,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,0,,266.0,,,8899.195396,28.0,,2677.0,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,0,,587.0,,,6356.56814,20.0,,2506.0,,,,100.862
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,0,,55.0,,,1589.15,5.0,,1250.0,,,0.024,64.308
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,0,406.0,,,,591.16083702,1.86,,,29564.0,0.203,0.48,396.332
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,0,,7493.0,,,3813.940884,12.0,,1616.0,,,,34.1154
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,0,,230.0,,,3972.875,12.5,,,4045.0,,0.6,69.5737
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,0,335.1,0.995,,,3140.03,9.88,,,6300.0,1.13,1.16,44.657
4 UMa b,4 UMa,1,1,Radial Velocity,2006,0,269.3,0.87,,,2256.5,7.1,,,4415.0,18.11,1.234,73.4603
42 Dra b,42 Dra,2,1,Radial Velocity,2008,0,479.1,1.19,,,1233.13,3.88,,,4200.0,22.03,0.98,90.6545
47 UMa b,47 UMa,1,3,Radial Velocity,1996,0,1078.0,2.1,,,804.08,2.53,,,5872.0,1.21334,1.06,13.7967
47 UMa c,47 UMa,1,3,Radial Velocity,2001,0,2391.0,3.6,,,171.621,0.54,,,5872.0,1.21334,1.06,13.7967
47 UMa d,47 UMa,1,3,Radial Velocity,2009,0,19000.0,13.8,,,479.92089457,1.51,,,5829.16,1.136537,1.005192,13.7967
51 Eri b,51 Eri,3,1,Imaging,2015,0,14965.0,14.0,,,,,,,7295.0,1.48726,1.65,29.7575
51 Peg b,51 Peg,1,1,Radial Velocity,1995,0,4.2293,,,,149.3801,0.47,,,5773.0,1.29,,15.4614
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,0,14.651,0.1134,,,254.25,0.8,,,5250.0,0.963515,0.9,12.5855
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,0,44.373,0.23735,,,56.6985,0.1784,,,5250.0,0.963515,0.9,12.5855
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,0,4909.0,5.47,,,1121.89,3.53,,,5250.0,0.963515,0.9,12.5855
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,0,0.736539,0.01544,1.91,0.17039879,8.08,0.0254224,,,5250.0,0.963515,0.9,12.5855
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,0,261.2,0.77,,,54.664,0.172,,,5250.0,0.963515,0.9,12.5855
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,0,934.3,2.11,,,638.8383,2.01,,,4938.0,5.2,1.44,54.6599
61 Vir b,61 Vir,1,3,Radial Velocity,2009,0,4.215,0.050201,,,5.1,0.016,,,5577.0,0.963,0.942,8.50332
61 Vir c,61 Vir,1,3,Radial Velocity,2009,0,38.0957,0.2151,,,16.11390023,0.0507,,,5585.57,1.03251,0.914072,8.50332
61 Vir d,61 Vir,1,3,Radial Velocity,2009,0,123.01,0.476,,,22.9,0.072,,,5577.0,0.963,0.942,8.50332
7 CMa b,7 CMa,1,2,Radial Velocity,2011,0,763.0,1.9,,,826.3,2.6,,,4792.0,2.3,1.52,19.8101
7 CMa c,7 CMa,1,2,Radial Velocity,2019,0,996.0,2.153,,,276.5121,0.87,,,4826.0,4.87,1.34,19.8101
70 Vir b,70 Vir,1,1,Radial Velocity,1996,0,116.688,0.481,,,2357.02728,7.416,,,5495.0,1.89,1.09,17.9011
75 Cet b,75 Cet,2,2,Radial Velocity,2012,0,696.62,1.912,,,787.89662095,2.479,,,4809.0,10.38,1.92,82.9613
75 Cet c,75 Cet,2,2,Radial Velocity,2023,0,2051.62,3.929,,,289.85950718,0.912,,,4809.0,10.38,1.92,82.9613
8 UMi b,8 UMi,1,1,Radial Velocity,2015,0,93.4,0.49,,,416.3573,1.31,,,4847.0,10.3,1.44,162.552
81 Cet b,81 Cet,1,1,Radial Velocity,2008,0,952.7,2.5,,,1684.4,5.3,,,4785.0,11.0,2.4,101.26
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,0,181.4,0.7,,,1017.0,3.2,,,4665.0,11.0,1.4,44.0304
AB Aur b,AB Aur,1,1,Imaging,2022,0,,93.9,,,2860.455663,9.0,,,9770.0,,2.4,162.127
AB Pic b,AB Pic,1,1,Imaging,2005,0,,260.0,,,4290.5,13.5,,,,,,50.0475
AF Lep b,AF Lep,1,1,Imaging,2023,0,8030.0,8.4,,,1017.0509024,3.2,,,6130.0,1.25,1.2,26.8564
AT2021ueyL b,AT2021ueyL,1,1,Microlensing,2025,0,4168.69,4.01,,,425.89006538,1.34,,,3680.0,,0.49,1040.0
AU Mic b,AU Mic,1,3,Transit,2020,0,8.46321,,,,,,,,,,,9.7221
AU Mic c,AU Mic,1,3,Transit,2021,0,18.859019,0.1101,3.24,0.28905394,13.6,0.04279039,,454.0,3700.0,0.75,0.5,9.7221
AU Mic d,AU Mic,1,3,Transit Timing Variations,2023,0,12.73596,,,,1.053,0.00331,,,3678.0,0.744,0.51,9.7221
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,0,481.9,1.3,,,2034.112,6.4,,,4095.0,32.35,1.14,1070.63
BD+05 4868 A b,BD+05 4868 A,2,1,Transit,2025,0,1.271869,0.0208,,,6.2,0.01950738,,1820.0,4596.0,0.69,0.7,43.5687
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,0,268.94,0.78,,,330.5432,1.04,,,4864.0,0.86,0.49,49.352
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,0,153.22,0.576,,,337.21763,1.061,,,4649.0,8.95,1.08,768.045
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,0,137.48,0.539,,,352.78,1.11,,,4796.0,14.7,1.1,426.42
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,0,379.63,1.05,,,17668.1697,55.59,,,4259.0,71.02,10.83,1539.71
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,0,621.99,2.01,,,3963.17,12.47,,,4137.0,49.0,2.8,1539.71
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,0,578.2,1.3,,,1334.886,4.2,,,4296.0,17.3,0.8,1322.51
BD+20 594 b,BD+20 594,1,1,Transit,2016,0,41.6855,,2.57807,0.23,22.2481,0.07,,,5766.0,1.08,1.67,179.461
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,0,307.88,0.83,,,432.24663352,1.36,,,5004.0,,0.81,53.622
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,0,392.6,1.0,,,289.2253,0.91,,,4414.0,11.0,0.74,871.493
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,0,733.0,1.7,,,540.311,1.7,,,4534.0,10.33,1.09,666.589
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,0,2590.0,4.2,,,508.5,1.6,,,4943.0,7.6,1.52,442.042
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,0,265.59,0.78,,,228.83645304,0.72,,,5012.0,,0.909,52.5697
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,0,,1662.0,14.68376472,1.31,4767.426105,15.0,,1303.0,4993.0,0.797,1.0,44.9543
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,0,1198.48,2.06,,,1258.60049172,3.96,,,5000.0,,0.816,38.0473
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,1,3.8728,0.0428,,,8.5,0.027,,,4324.0,,0.7,20.2695
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,0,125.94,0.435,,,53.0,0.17,,,4324.0,,0.7,20.2695
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,0,5.6,0.056,,,14.4,0.045,,,4746.0,,0.74,41.3342
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,0,237.6,0.68,,,104.0,0.33,,,4746.0,,0.74,41.3342
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,0,3.48777,0.0452,,,145.56,0.458,,,5393.0,,1.01,84.4069
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,0,1634.0,2.36,,,206.5895,0.65,,,4550.0,0.639,0.651,27.1665
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,0,74.2,0.3,,,15.37,0.04835919,,,4550.0,0.639,0.651,27.1665
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,0,714.29999,1.66,,,3108.3774,9.78,,,4545.0,19.17,2.12,925.214
BD-14 3065 b,BD-14 3065 A,3,1,Transit,2024,0,4.2889696,,20.7112,1.84773268,,,646.761,1404.0,6736.9,2.61,,589.423
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,0,655.59998,1.34,,,905.8155,2.85,,,4665.0,0.74,0.31,34.4603
BD-210397 b,BD-210397,1,2,Radial Velocity,2023,0,1891.0,2.63,,,214.0,0.7,0.02,,4051.0,0.747,0.679,23.7324
BD-210397 c,BD-210397,1,2,Radial Velocity,2023,0,6240.0,5.9,,,1525.5763536,4.8,,,,,0.69,23.7324
Barnard b,Barnard's star,1,4,Radial Velocity,2024,0,3.1533,0.02294,,,0.37,0.00116415,6.76,400.0,3195.0,0.185,0.162,1.82655
Barnard c,Barnard's star,1,4,Radial Velocity,2025,0,4.1244,0.0274,,,0.335,0.00105403,,400.0,3195.0,0.185,0.162,1.82655
Barnard d,Barnard's star,1,4,Radial Velocity,2025,0,2.3402,0.0188,,,0.263,0.00082749,,483.0,3195.0,0.185,0.162,1.82655
Barnard e,Barnard's star,1,4,Radial Velocity,2025,0,6.7392,0.0381,,,0.193,0.00060725,,340.0,3195.0,0.185,0.162,1.82655
CD Cet b,CD Cet,1,1,Radial Velocity,2020,0,2.2907,0.0185,,,3.95,0.01242809,8.6,464.0,3130.0,0.175,0.161,8.60715
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,0,10037.5,2.6,,,3337.1,10.5,,370.0,580.5,,0.021,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,0,8040000.0,200.0,20.8487041,1.86,2479.0615746,7.8,,1800.0,2320.0,0.245,0.0147,
CHXR 73 b,CHXR 73,1,1,Imaging,2006,0,,210.0,,,3994.486,12.569,,,,,0.35,190.374
CI Tau c,CI Tau,1,1,Radial Velocity,2024,0,25.2,0.17,,,1144.1822652,3.6,,,,,,157.998
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,0,,,12.44196858,1.11,2542.627256,8.0,,,3406.0,0.388,0.37,10.8864
CT Cha b,CT Cha,1,1,Imaging,2007,0,,440.0,24.66,2.2,5403.0,17.0,,2600.0,,,,190.72
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,0,1.5089557,,16.7,1.49,327.35,1.03,,1898.0,5950.0,1.11,0.95,787.909
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,0,13.2406,0.1055,10.87273,0.97,867.6759,2.73,,,5075.0,0.79,0.89,338.386
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,0,2.994325,0.04351,15.58051,1.39,791.3967,2.49,,1715.0,,1.33,1.23,655.037
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,0,2.82805268,0.0392,15.064896,1.344,277.46559,0.873,,1417.0,,1.049,1.0,1126.37
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,0,4.03519,0.051,14.033668,1.252,416.99296,1.312,,1432.0,5945.0,1.274,1.086,1148.93
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,0,1.51214,0.027,12.22,1.09,2415.4,7.6,,1952.0,6035.0,1.21,1.13,1744.6
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,0,5.35227,0.0618,13.11,1.17,170.032,0.535,,,5650.0,1.19,1.098,732.409
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,0,3.7681,0.0481,11.43318,1.02,765.9703,2.41,,,5740.0,1.59,1.04,1176.12
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,0,1.90009,0.0288,12.845514,1.146,1048.839,3.3,,1487.0,,0.883,0.88,764.889
CoRoT-19 b,CoRoT-19,1,1,Transit,2011,0,3.89713,0.05166,14.45961,1.29,367.09365,1.155,,,6090.0,1.65,1.21,790.663
CoRoT-2 b,CoRoT-2,2,1,Transit,2008,0,1.742997,,,,,,,,5696.0,,,213.283
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,0,9.24318,0.0891,11.209,1.0,1315.8162,4.14,,1024.0,,1.16,1.1,844.061
CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,0,1675.0,2.9,,,5403.11,17.0,,,,,1.14,844.061
CoRoT-21 b,CoRoT-21,1,1,Transit,2012,0,2.72474,0.0416,14.5717,1.3,705.5826,2.22,,,6200.0,1.95,1.29,
CoRoT-22 b,CoRoT-22,1,1,Transit,2014,0,9.75598,0.092,4.88,0.435,12.2,0.038,,885.0,5939.0,1.136,1.099,627.158
CoRoT-23 b,CoRoT-23,1,1,Transit,2011,0,3.6313,0.048,11.77,1.05,889.9,2.8,,1660.0,5900.0,1.61,1.14,1060.97
CoRoT-24 b,CoRoT-24,1,2,Transit,2014,0,5.1134,0.056,3.7,0.33,5.7,0.018,,1070.0,4950.0,0.86,0.91,591.555
CoRoT-24 c,CoRoT-24,1,2,Transit,2014,0,11.759,0.098,5.0,0.44,28.0,0.088,,850.0,4950.0,0.86,0.91,591.555
CoRoT-25 b,CoRoT-25,1,1,Transit,2013,0,4.86069,0.0578,12.11,1.08,85.81,0.27,,1330.0,6040.0,1.19,1.09,1103.48
CoRoT-26 b,CoRoT-26,1,1,Transit,2013,0,4.20474,0.0526,14.12,1.26,165.26,0.52,,1600.0,5590.0,1.79,1.09,1045.18
CoRoT-27 b,CoRoT-27,1,1,Transit,2014,0,3.57532,0.0467,11.287463,1.007,3273.649,10.3,,,5900.0,1.08,1.05,1010.28
CoRoT-28 b,CoRoT-28,1,1,Transit,2015,0,5.20851,0.059,10.704595,0.955,152.87623,0.481,,,5150.0,1.78,1.01,766.183
CoRoT-29 b,CoRoT-29,1,1,Transit,2015,0,2.85057,0.039,10.0881,0.9,266.9772,0.84,,,5260.0,0.9,0.97,806.507
CoRoT-3 b,CoRoT-3,1,1,Transit,2008,0,4.2567994,0.0574,11.32109,1.01,6814.2752,21.44,,,6740.0,1.56,1.37,768.771
CoRoT-30 b,CoRoT-30,1,1,Transit,2020,0,9.06005,0.0844,11.309881,1.009,921.707,2.9,,,5650.0,0.91,0.98,1032.23
CoRoT-31 b,CoRoT-31,1,1,Transit,2020,0,4.62941,0.0586,16.36514,1.46,266.9772,0.84,,,5700.0,2.15,1.25,2005.76
CoRoT-35 b,CoRoT-35,1,1,Transit,2022,0,3.22748,0.0429,18.83108758,1.68,349.6112477,1.1,,1747.0,6390.0,1.65,1.01,1123.21
CoRoT-36 b,CoRoT-36,1,1,Transit,2022,0,5.616531,0.066,15.80466279,1.41,216.12331676,0.68,,1567.0,6730.0,1.52,1.32,925.958
CoRoT-4 b,CoRoT-4,1,1,Transit,2008,0,9.20205,0.09025,13.33871,1.19,223.43449,0.703,,,6190.0,1.17,1.16,726.412
CoRoT-5 b,CoRoT-5,1,1,Transit,2009,0,4.03790124331,,18.38267405,1.63999516,,,786.2949,1350.57,6100.0,1.27299,,882.472
CoRoT-6 b,CoRoT-6,1,1,Transit,2009,0,8.886593,0.0855,13.282665,1.185,940.7768,2.96,,1025.0,6090.0,1.043,1.054,645.294
CoRoT-7 b,CoRoT-7,1,3,Transit,2009,0,0.853585,0.0172,1.68,0.15,21.0,0.066,,,5275.0,0.87,0.93,159.906
CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,0,3.697,,,,13.289,0.04181187,,,5250.0,,0.915,159.906
CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,0,8.966,,,,17.142,0.05393476,,,5250.0,,0.915,159.906
CoRoT-8 b,CoRoT-8,1,1,Transit,2010,0,6.212381,0.06339,6.38913,0.57,69.28694,0.218,,,5080.0,0.77,0.88,322.037
CoRoT-9 b,CoRoT-9,2,1,Transit,2009,0,95.2738,0.407,11.77,1.05,266.97,0.84,,,5625.0,0.94,0.99,412.98
CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,0,6.71837,0.071,6.38913,0.57,47.6745,0.15,132.26,938.0,5970.0,0.79,1.08,576.683
DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,0,4098.1,5.75,,,3823.27330161,12.02930278,,,,,0.51,30.5225
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,0,246.36,0.36,,,9057.77,28.5,,,,,0.075,
DH Tau b,DH Tau,1,1,Imaging,2004,0,,,30.2643,2.7,3496.13,11.0,,2200.0,4371.0,1.36687,0.683,134.846
DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,0,18.57,0.1462,,,24.27,0.07636158,,877.0,6196.0,1.26,1.21,62.5388
DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,0,6.584,0.0733,,,9.6,0.03020483,,1239.0,6196.0,1.26,1.21,62.5388
DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,0,2.882,0.0422,,,3.35,0.01054023,,1632.0,6196.0,1.26,1.21,62.5388
DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,0,5.516,0.0651,,,4.13,0.01299437,,1314.0,6196.0,1.26,1.21,62.5388
DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,0,5.2072,0.0664,,,138.89171,0.437,,1000.0,6500.0,1.78,1.44,137.94
DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,0,6.6736,0.0662,,,2.58,0.00811755,,854.0,,,,45.23
DMPP-4 b,DMPP-4,1,1,Radial Velocity,2023,0,3.4982,0.04853,,,12.2,0.03838549,,,6400.0,1.38,1.25,25.3284
DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,0,10220.0,8.19,,,1922.79,6.05,,,,,0.69,305.684
DS Tuc A b,DS Tuc A,2,1,Transit,2019,0,8.13822217724,,6.17576816,0.55096608,,,115.8276,836.71,5414.0,0.951985,,44.0622
EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,0,6.7987,0.0349,1.047,0.09340708,,,,,3648.0,0.282,0.287,
EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,0,28.1656,,1.87,0.16683023,,,,,,,0.41,159.259
EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,0,0.72091,,1.5,0.13382127,,,,,5633.0,0.94,,706.391
EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,0,2.13174,,0.692,0.0617361,,,,,,,0.78,253.026
EPIC 201595106 b,EPIC 201595106,1,2,Transit,2021,0,0.877183,,1.40575209,0.13,,,,,5705.0,0.932487,,232.1
EPIC 201615463 c,K2-166,1,2,Transit,2019,0,3.80464,,1.22,0.10884111,,,,,,,1.073,476.882
EPIC 201754305 d,K2-16,1,3,Transit,2019,0,2.71578,,1.03,0.09189045,,,,,,,0.67,334.967
EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,0,2.0478,0.0296,0.90819,0.08102328,,,,,4520.0,0.655,0.727,
EPIC 201833600 c,K2-50,1,2,Transit,2019,0,3.96165,,1.48,0.132,,,,,,0.634,,257.443
EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,0,4.1698,0.035,1.04,0.09278259,,,,,5053.0,0.628461,0.802,436.488
EPIC 205950854 c,K2-168,1,2,Transit,2019,0,8.050722,,1.31,0.11687037,,,,960.6,5502.7,0.83,0.877,243.935
EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,0,4.50756,,1.7,0.15166384,,,,,,,0.928,369.888
EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,0,0.9116567,,1.35,0.12043893,,,,,5648.0,0.94,,369.888
EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,0,14.6435,,2.52,0.225,,,,,,0.823,,369.888
EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,0,2.87814,,1.01,0.09010616,,,,,,,0.221,161.365
EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,0,5.29853,,3.32,0.296,,,,,,0.668,,451.769
EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,0,0.354884,,1.2,0.10705701,,,,,4114.0,0.5,,451.769
EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,0,2.25558,,2.0,0.2,,,,,,0.367,,109.888
EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,0,1.58316,,1.22,0.109,,,,,,0.669,,314.35
EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,0,17.5125,,2.15,0.192,,,,,,0.669,,314.35
EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,0,21.17623917,,,,,,,,3811.0,0.597044,0.585671,186.197
EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,0,19.4921498,,,,,,,,6025.0,1.38,1.18,181.69
EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,0,2.28943,,1.323,0.11803015,,,,,,,0.829,418.395
EPIC 212297394 c,EPIC 212297394,1,2,Transit,2021,0,5.21378,,2.29,0.204,,,,,,0.749,,418.395
EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,0,18.0983,,2.17,0.19359443,,,,,,,1.106,611.804
EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,0,34.885,,1.6,0.14274244,,,,,,,0.912,283.29
EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,0,15.2841,,1.12,0.09991971,,,,,,,0.95,320.07
EPIC 212587672 c,EPIC 212587672,1,2,Transit,2021,0,23.24110566,,,,,,,,6055.0,0.94987,1.13,320.07
EPIC 212624936 b,EPIC 212624936,1,2,Transit,2021,0,0.578657,,1.2,0.10705701,,,,,5765.0,0.93,,561.929
EPIC 212624936 c,EPIC 212624936,1,2,Transit,2021,0,11.811437,,2.3,0.20519261,,,,,5765.0,0.93,,561.929
EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,0,13.603,,,,,,,,4581.0,0.669035,0.724,336.25
EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,0,65.55,0.28,2.69,0.23998573,,,,316.0,4684.0,0.673,0.69,336.25
EPIC 220492298 b,EPIC 220492298,1,1,Transit,2021,0,0.762406,,0.99,0.08832204,,,,,5620.0,0.89,,624.512
EPIC 220554210 c,K2-282,1,2,Transit,2019,0,0.70531,,1.6,0.14274268,,,,,5499.0,1.0,,496.289
EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,0,0.571212,,1.6,0.14274268,,,,,5613.0,0.95,,244.59
EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,0,13.3387,0.1071,2.77,0.24712285,5.7,0.01793412,64.0,722.0,5496.0,0.95,0.92,244.59
EPIC 228836835 b,EPIC 228836835,1,1,Transit,2021,0,0.72813,,1.27,0.113,,,,932.0,3506.0,0.423901,0.418179,150.124
EPIC 229004835 b,EPIC 229004835,1,1,Transit,2023,0,16.140442,,2.05969274,0.18,,,,,5870.0,0.975013,,121.971
EPIC 246851721 b,EPIC 246851721,2,1,Transit,2018,0,6.18026138745,,13.70374653,1.22256848,,,923.6302,1406.03,6513.0,1.73931,,372.632
EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,0,3650.0,4.5,12.44199,1.11,4131.79,13.0,0.19,183.0,4898.0,2.7,0.9,551.886
EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,0,3.5951,0.047,1.95,0.17396735,8.75,0.02753044,1037.0,1616.0,5430.0,1.71,1.05,321.296
EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,0,15.624,0.13,3.67,0.32741547,14.67,0.04615675,160.0,990.0,5430.0,1.71,1.05,321.296
EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,0,35.747,0.22,3.94,0.35150326,10.18,0.0320297,53.0,752.0,5430.0,1.71,1.05,321.296
FU Tau b,FU Tau,1,1,Imaging,2008,0,,800.0,,,5085.28,16.0,,2375.0,2838.0,,0.05,
G 192-15 b,G 192-15,1,2,Radial Velocity,2025,0,2.27476,0.01723,,,1.03,0.00324074,7.06,453.6,,,0.132,9.53114
G 192-15 c,G 192-15,1,2,Radial Velocity,2025,0,1219.0,1.137,,,14.3,0.04499283,0.0016,55.9,,,0.132,9.53114
G 196-3 b,G 196-3,1,1,Imaging,2024,0,,350.0,,,8263.538582,26.0,,1670.0,,,,21.7912
G 261-6 b,G 261-6,1,1,Radial Velocity,2025,0,5.4536,0.02971,,,1.37,0.0043105,1.8,322.3,,,0.118,10.6267
